[2018-11-23 09:21:09] ; View::view,行:63; parts/header
[2018-11-23 09:21:09] ; View::view,行:63; parts/bxslider
[2018-11-23 09:21:09] ; View::view,行:63; parts/product
[2018-11-23 09:21:09] ; View::view,行:63; parts/news
[2018-11-23 09:21:09] ; View::view,行:63; parts/showImgs
[2018-11-23 09:21:09] ; View::view,行:63; parts/footer
[2018-11-23 09:21:15] ; ,行:19; 設定開始
[2018-11-23 09:21:15] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:15] ; ,行:23; 設定完了
[2018-11-23 09:21:15] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:15] ; ,行:25; URL:/
[2018-11-23 09:21:15] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:15] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-23 09:21:15] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:21:15] ; Dispatch::excute,行:47; null
[2018-11-23 09:21:15] ; View::view,行:63; index
[2018-11-23 09:21:15] ; View::view,行:63; parts/header
[2018-11-23 09:21:15] ; View::view,行:63; parts/bxslider
[2018-11-23 09:21:15] ; View::view,行:63; parts/product
[2018-11-23 09:21:15] ; View::view,行:63; parts/news
[2018-11-23 09:21:15] ; View::view,行:63; parts/showImgs
[2018-11-23 09:21:15] ; View::view,行:63; parts/footer
[2018-11-23 09:21:17] ; ,行:19; 設定開始
[2018-11-23 09:21:17] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:17] ; ,行:23; 設定完了
[2018-11-23 09:21:17] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:17] ; ,行:25; URL:/inquiry
[2018-11-23 09:21:17] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:17] ; Dispatch::excute,行:26; [0=>, 1=>inquiry]
[2018-11-23 09:21:17] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:21:17] ; Dispatch::excute,行:47; null
[2018-11-23 09:21:17] ; View::view,行:63; index
[2018-11-23 09:21:17] ; View::view,行:63; parts/header
[2018-11-23 09:21:17] ; View::view,行:63; parts/bxslider
[2018-11-23 09:21:17] ; View::view,行:63; parts/product
[2018-11-23 09:21:17] ; View::view,行:63; parts/news
[2018-11-23 09:21:17] ; View::view,行:63; parts/showImgs
[2018-11-23 09:21:17] ; View::view,行:63; parts/footer
[2018-11-23 09:21:40] ; ,行:19; 設定開始
[2018-11-23 09:21:40] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:40] ; ,行:23; 設定完了
[2018-11-23 09:21:40] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:40] ; ,行:25; URL:/inquiry
[2018-11-23 09:21:40] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:40] ; Dispatch::excute,行:26; [0=>, 1=>inquiry]
[2018-11-23 09:21:40] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:21:40] ; Dispatch::excute,行:47; null
[2018-11-23 09:21:40] ; View::view,行:63; index
[2018-11-23 09:21:40] ; View::view,行:63; parts/header
[2018-11-23 09:21:40] ; View::view,行:63; parts/bxslider
[2018-11-23 09:21:40] ; View::view,行:63; parts/product
[2018-11-23 09:21:40] ; View::view,行:63; parts/news
[2018-11-23 09:21:40] ; View::view,行:63; parts/showImgs
[2018-11-23 09:21:40] ; View::view,行:63; parts/footer
[2018-11-23 09:25:16] ; ,行:19; 設定開始
[2018-11-23 09:25:16] ; Request::__construct,行:8; Request生成
[2018-11-23 09:25:16] ; ,行:23; 設定完了
[2018-11-23 09:25:16] ; Request::__construct,行:8; Request生成
[2018-11-23 09:25:16] ; ,行:25; URL:/inquiry
[2018-11-23 09:25:16] ; Request::__construct,行:8; Request生成
[2018-11-23 09:25:16] ; Dispatch::excute,行:26; [0=>, 1=>inquiry]
[2018-11-23 09:25:16] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:25:16] ; Dispatch::excute,行:37; inquiry
[2018-11-23 09:25:16] ; Dispatch::excute,行:47; {}
[2018-11-23 09:25:16] ; View::view,行:63; inquiry
[2018-11-23 09:25:16] ; View::view,行:63; parts/header
[2018-11-23 09:25:16] ; View::view,行:63; parts/inquiry
[2018-11-23 09:25:16] ; View::view,行:63; parts/footer
[2018-11-23 09:25:19] ; ,行:19; 設定開始
[2018-11-23 09:25:19] ; Request::__construct,行:8; Request生成
[2018-11-23 09:25:19] ; ,行:23; 設定完了
[2018-11-23 09:25:19] ; Request::__construct,行:8; Request生成
[2018-11-23 09:25:19] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 09:25:19] ; Request::__construct,行:8; Request生成
[2018-11-23 09:25:19] ; Dispatch::excute,行:26; [0=>, 1=>inquiry_confirmation]
[2018-11-23 09:25:19] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:25:19] ; Dispatch::excute,行:37; inquiry_confirmation
[2018-11-23 09:25:19] ; Dispatch::excute,行:47; {}
[2018-11-23 09:25:19] ; View::view,行:63; inquiryAction@confirmation
[2018-11-23 09:34:45] ; ,行:19; 設定開始
[2018-11-23 09:34:45] ; Request::__construct,行:8; Request生成
[2018-11-23 09:34:45] ; ,行:23; 設定完了
[2018-11-23 09:34:45] ; Request::__construct,行:8; Request生成
[2018-11-23 09:34:45] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 09:34:45] ; Request::__construct,行:8; Request生成
[2018-11-23 09:34:45] ; Dispatch::excute,行:26; [0=>, 1=>inquiry_confirmation]
[2018-11-23 09:34:45] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:34:45] ; Dispatch::excute,行:40; [0=>inquiryAction, 1=>confirmation]
[2018-11-23 09:34:45] ; Dispatch::excute,行:60; inquiry_confirmation
[2018-11-23 09:34:45] ; Dispatch::excute,行:70; {}
[2018-11-23 09:34:45] ; View::view,行:63; inquiryAction@confirmation
[2018-11-23 09:34:51] ; ,行:19; 設定開始
[2018-11-23 09:34:51] ; Request::__construct,行:8; Request生成
[2018-11-23 09:34:51] ; ,行:23; 設定完了
[2018-11-23 09:34:51] ; Request::__construct,行:8; Request生成
[2018-11-23 09:34:51] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 09:34:51] ; Request::__construct,行:8; Request生成
[2018-11-23 09:34:51] ; Dispatch::excute,行:26; [0=>, 1=>inquiry_confirmation]
[2018-11-23 09:34:51] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:34:51] ; Dispatch::excute,行:40; [0=>inquiryAction, 1=>confirmation]
[2018-11-23 09:34:51] ; Dispatch::excute,行:60; inquiry_confirmation
[2018-11-23 09:34:51] ; Dispatch::excute,行:70; {}
[2018-11-23 09:34:51] ; View::view,行:63; inquiryAction@confirmation
[2018-11-23 10:05:38] ; ,行:19; 設定開始
[2018-11-23 10:05:38] ; Request::__construct,行:8; Request生成
[2018-11-23 10:05:38] ; ,行:23; 設定完了
[2018-11-23 10:05:38] ; Request::__construct,行:8; Request生成
[2018-11-23 10:05:38] ; ,行:25; URL:/inquiry
[2018-11-23 10:05:38] ; Request::__construct,行:8; Request生成
[2018-11-23 10:05:38] ; Dispatch::excute,行:78; [0=>, 1=>inquiry]
[2018-11-23 10:05:38] ; Dispatch::excute,行:80; is not false
[2018-11-23 10:05:38] ; Dispatch::excute,行:105; inquiry
[2018-11-23 10:05:38] ; View::view,行:63; inquiry
[2018-11-23 10:05:38] ; View::view,行:63; parts/header
[2018-11-23 10:05:38] ; View::view,行:63; parts/inquiry
[2018-11-23 10:05:38] ; View::view,行:63; parts/footer
[2018-11-23 10:05:41] ; ,行:19; 設定開始
[2018-11-23 10:05:41] ; Request::__construct,行:8; Request生成
[2018-11-23 10:05:41] ; ,行:23; 設定完了
[2018-11-23 10:05:41] ; Request::__construct,行:8; Request生成
[2018-11-23 10:05:41] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 10:05:41] ; Request::__construct,行:8; Request生成
[2018-11-23 10:05:41] ; Dispatch::excute,行:78; [0=>, 1=>inquiry_confirmation]
[2018-11-23 10:05:41] ; Dispatch::excute,行:80; is not false
[2018-11-23 10:05:41] ; Dispatch::invokeMethod,行:24; invokeMethod :; inquiryAction; confirmation
[2018-11-23 10:05:41] ; ,行:39; {}
[2018-11-23 10:05:41] ; View::view,行:63; errors,error
[2018-11-23 10:06:58] ; ,行:19; 設定開始
[2018-11-23 10:06:58] ; Request::__construct,行:8; Request生成
[2018-11-23 10:06:58] ; ,行:23; 設定完了
[2018-11-23 10:06:58] ; Request::__construct,行:8; Request生成
[2018-11-23 10:06:58] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 10:06:58] ; Request::__construct,行:8; Request生成
[2018-11-23 10:06:58] ; Dispatch::excute,行:79; [0=>, 1=>inquiry_confirmation]
[2018-11-23 10:06:58] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:06:58] ; Dispatch::invokeMethod,行:24; invokeMethod :; inquiryAction; confirmation
[2018-11-23 10:06:58] ; Dispatch::invokeMethod,行:35; invokeMethod[例外] :; {}
[2018-11-23 10:06:58] ; ,行:39; {}
[2018-11-23 10:06:58] ; View::view,行:63; errors,error
[2018-11-23 10:13:47] ; ,行:19; 設定開始
[2018-11-23 10:13:47] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:47] ; ,行:23; 設定完了
[2018-11-23 10:13:47] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:47] ; ,行:25; URL:/
[2018-11-23 10:13:47] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:47] ; Dispatch::excute,行:79; [0=>, 1=>]
[2018-11-23 10:13:47] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:13:47] ; Dispatch::excute,行:106; null
[2018-11-23 10:13:47] ; View::view,行:63; index
[2018-11-23 10:13:47] ; View::view,行:63; parts/header
[2018-11-23 10:13:47] ; View::view,行:63; parts/bxslider
[2018-11-23 10:13:47] ; View::view,行:63; parts/product
[2018-11-23 10:13:47] ; View::view,行:63; parts/news
[2018-11-23 10:13:47] ; View::view,行:63; parts/showImgs
[2018-11-23 10:13:47] ; View::view,行:63; parts/footer
[2018-11-23 10:13:49] ; ,行:19; 設定開始
[2018-11-23 10:13:49] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:49] ; ,行:23; 設定完了
[2018-11-23 10:13:49] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:49] ; ,行:25; URL:/inquiry
[2018-11-23 10:13:49] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:49] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:13:49] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:13:49] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:13:49] ; View::view,行:63; inquiry
[2018-11-23 10:13:49] ; View::view,行:63; parts/header
[2018-11-23 10:13:49] ; View::view,行:63; parts/inquiry
[2018-11-23 10:13:49] ; View::view,行:63; parts/footer
[2018-11-23 10:13:51] ; ,行:19; 設定開始
[2018-11-23 10:13:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:51] ; ,行:23; 設定完了
[2018-11-23 10:13:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:51] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 10:13:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:13:51] ; Dispatch::excute,行:79; [0=>, 1=>inquiry_confirmation]
[2018-11-23 10:13:51] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:13:51] ; Dispatch::invokeMethod,行:24; invokeMethod :; InquiryAction; confirmation
[2018-11-23 10:13:51] ; InquiryAction::confirmation,行:13;
[2018-11-23 10:13:51] ; Dispatch::invokeMethod,行:32; invokeMethod[終了] :;
[2018-11-23 10:13:51] ; Dispatch::excute,行:106; null
[2018-11-23 10:13:51] ; View::view,行:63; index
[2018-11-23 10:13:51] ; View::view,行:63; parts/header
[2018-11-23 10:13:51] ; View::view,行:63; parts/bxslider
[2018-11-23 10:13:51] ; View::view,行:63; parts/product
[2018-11-23 10:13:51] ; View::view,行:63; parts/news
[2018-11-23 10:13:51] ; View::view,行:63; parts/showImgs
[2018-11-23 10:13:51] ; View::view,行:63; parts/footer
[2018-11-23 10:14:58] ; ,行:19; 設定開始
[2018-11-23 10:14:58] ; Request::__construct,行:8; Request生成
[2018-11-23 10:14:58] ; ,行:23; 設定完了
[2018-11-23 10:14:58] ; Request::__construct,行:8; Request生成
[2018-11-23 10:14:58] ; ,行:25; URL:/inquiry
[2018-11-23 10:14:58] ; Request::__construct,行:8; Request生成
[2018-11-23 10:14:58] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:14:58] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:14:58] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:14:58] ; View::view,行:63; inquiry
[2018-11-23 10:14:58] ; View::view,行:63; parts/header
[2018-11-23 10:14:58] ; View::view,行:63; parts/inquiry
[2018-11-23 10:14:58] ; View::view,行:63; parts/footer
[2018-11-23 10:15:50] ; ,行:19; 設定開始
[2018-11-23 10:15:50] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:50] ; ,行:23; 設定完了
[2018-11-23 10:15:50] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:50] ; ,行:25; URL:/inquiry
[2018-11-23 10:15:50] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:50] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:15:50] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:15:50] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:15:50] ; View::view,行:63; inquiry
[2018-11-23 10:15:50] ; View::view,行:63; parts/header
[2018-11-23 10:15:50] ; View::view,行:63; parts/inquiry
[2018-11-23 10:15:50] ; View::view,行:63; parts/footer
[2018-11-23 10:15:50] ; ,行:19; 設定開始
[2018-11-23 10:15:50] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:50] ; ,行:23; 設定完了
[2018-11-23 10:15:50] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:50] ; ,行:25; URL:/inquiry
[2018-11-23 10:15:50] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:50] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:15:50] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:15:50] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:15:50] ; View::view,行:63; inquiry
[2018-11-23 10:15:50] ; View::view,行:63; parts/header
[2018-11-23 10:15:50] ; View::view,行:63; parts/inquiry
[2018-11-23 10:15:50] ; View::view,行:63; parts/footer
[2018-11-23 10:15:51] ; ,行:19; 設定開始
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:23; 設定完了
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:25; URL:/inquiry
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:15:51] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:15:51] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/header
[2018-11-23 10:15:51] ; View::view,行:63; parts/inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/footer
[2018-11-23 10:15:51] ; ,行:19; 設定開始
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:23; 設定完了
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:25; URL:/inquiry
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:15:51] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:15:51] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/header
[2018-11-23 10:15:51] ; View::view,行:63; parts/inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/footer
[2018-11-23 10:15:51] ; ,行:19; 設定開始
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:23; 設定完了
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:25; URL:/inquiry
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:15:51] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:15:51] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/header
[2018-11-23 10:15:51] ; View::view,行:63; parts/inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/footer
[2018-11-23 10:15:51] ; ,行:19; 設定開始
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:23; 設定完了
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; ,行:25; URL:/inquiry
[2018-11-23 10:15:51] ; Request::__construct,行:8; Request生成
[2018-11-23 10:15:51] ; Dispatch::excute,行:79; [0=>, 1=>inquiry]
[2018-11-23 10:15:51] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:15:51] ; Dispatch::excute,行:106; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/header
[2018-11-23 10:15:51] ; View::view,行:63; parts/inquiry
[2018-11-23 10:15:51] ; View::view,行:63; parts/footer
[2018-11-23 10:16:07] ; ,行:19; 設定開始
[2018-11-23 10:16:07] ; Request::__construct,行:8; Request生成
[2018-11-23 10:16:07] ; ,行:23; 設定完了
[2018-11-23 10:16:07] ; Request::__construct,行:8; Request生成
[2018-11-23 10:16:07] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 10:16:07] ; Request::__construct,行:8; Request生成
[2018-11-23 10:16:07] ; Dispatch::excute,行:79; [0=>, 1=>inquiry_confirmation]
[2018-11-23 10:16:07] ; Dispatch::excute,行:81; is not false
[2018-11-23 10:16:07] ; Dispatch::invokeMethod,行:24; invokeMethod :; InquiryAction; confirmation
[2018-11-23 10:16:07] ; InquiryAction::confirmation,行:13;
[2018-11-23 10:16:07] ; Dispatch::invokeMethod,行:32; invokeMethod[終了] :;
[2018-11-23 10:16:07] ; Dispatch::excute,行:106; null
[2018-11-23 10:16:07] ; View::view,行:63; index
[2018-11-23 10:16:07] ; View::view,行:63; parts/header
[2018-11-23 10:16:07] ; View::view,行:63; parts/bxslider
[2018-11-23 10:16:07] ; View::view,行:63; parts/product
[2018-11-23 10:16:07] ; View::view,行:63; parts/news
[2018-11-23 10:16:07] ; View::view,行:63; parts/showImgs
[2018-11-23 10:16:07] ; View::view,行:63; parts/footer
[2018-11-23 10:17:05] ; ,行:19; 設定開始
[2018-11-23 10:17:05] ; Request::__construct,行:8; Request生成
[2018-11-23 10:17:05] ; ,行:23; 設定完了
[2018-11-23 10:17:05] ; Request::__construct,行:8; Request生成
[2018-11-23 10:17:05] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 10:17:05] ; Request::__construct,行:8; Request生成
