[2018-11-22 01:51:08] ; View::view,行:63; parts/header
[2018-11-22 01:51:08] ; View::view,行:63; parts/bxslider
[2018-11-22 01:51:08] ; View::view,行:63; parts/news
[2018-11-22 01:51:08] ; View::view,行:63; parts/showImgs
[2018-11-22 01:51:08] ; View::view,行:63; parts/footer
[2018-11-22 01:51:09] ; ,行:19; 設定開始
[2018-11-22 01:51:09] ; Request::__construct,行:8; Request生成
[2018-11-22 01:51:09] ; ,行:23; 設定完了
[2018-11-22 01:51:09] ; Request::__construct,行:8; Request生成
[2018-11-22 01:51:09] ; ,行:25; URL:/about
[2018-11-22 01:51:09] ; Request::__construct,行:8; Request生成
[2018-11-22 01:51:09] ; Dispatch::excute,行:26; [0=>, 1=>about]
[2018-11-22 01:51:09] ; Dispatch::excute,行:28; is not false
[2018-11-22 01:51:09] ; Dispatch::excute,行:31; about
[2018-11-22 01:51:09] ; Dispatch::excute,行:39; null
[2018-11-22 01:51:09] ; View::view,行:63; index
[2018-11-22 01:51:09] ; View::view,行:63; parts/header
[2018-11-22 01:51:09] ; View::view,行:63; parts/bxslider
[2018-11-22 01:51:09] ; View::view,行:63; parts/news
[2018-11-22 01:51:09] ; View::view,行:63; parts/showImgs
[2018-11-22 01:51:09] ; View::view,行:63; parts/footer
[2018-11-22 01:51:10] ; ,行:19; 設定開始
[2018-11-22 01:51:10] ; Request::__construct,行:8; Request生成
[2018-11-22 01:51:10] ; ,行:23; 設定完了
[2018-11-22 01:51:10] ; Request::__construct,行:8; Request生成
[2018-11-22 01:51:10] ; ,行:25; URL:/access
[2018-11-22 01:51:10] ; Request::__construct,行:8; Request生成
[2018-11-22 01:51:10] ; Dispatch::excute,行:26; [0=>, 1=>access]
[2018-11-22 01:51:10] ; Dispatch::excute,行:28; is not false
[2018-11-22 01:51:10] ; Dispatch::excute,行:31; access
[2018-11-22 01:51:10] ; Dispatch::excute,行:39; {}
[2018-11-22 01:51:10] ; View::view,行:63; access
[2018-11-22 01:51:10] ; View::view,行:63; parts/header
[2018-11-22 01:51:10] ; View::view,行:63; parts/access
[2018-11-22 01:51:10] ; View::view,行:63; parts/footer
