[2018-11-21 19:54:05] ; ,行:19; 設定開始
[2018-11-21 19:54:05] ; Request::__construct,行:8; Request生成
[2018-11-21 19:54:05] ; ,行:23; 設定完了
[2018-11-21 19:54:05] ; Request::__construct,行:8; Request生成
[2018-11-21 19:54:05] ; ,行:25; URL:/
[2018-11-21 19:54:05] ; Request::__construct,行:8; Request生成
[2018-11-21 19:54:05] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-21 19:54:05] ; Dispatch::excute,行:28; is not false
[2018-11-21 19:54:05] ; Dispatch::excute,行:39; null
[2018-11-21 19:54:05] ; View::view,行:63; index
[2018-11-21 19:54:05] ; View::view,行:63; parts/header
[2018-11-21 19:54:05] ; View::view,行:63; parts/bxslider
[2018-11-21 19:54:05] ; View::view,行:63; parts/news
[2018-11-21 19:54:05] ; View::view,行:63; parts/footer
[2018-11-21 20:05:37] ; ,行:19; 設定開始
[2018-11-21 20:05:37] ; Request::__construct,行:8; Request生成
[2018-11-21 20:05:37] ; ,行:23; 設定完了
[2018-11-21 20:05:37] ; Request::__construct,行:8; Request生成
[2018-11-21 20:05:37] ; ,行:25; URL:/
[2018-11-21 20:05:37] ; Request::__construct,行:8; Request生成
[2018-11-21 20:05:37] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-21 20:05:37] ; Dispatch::excute,行:28; is not false
[2018-11-21 20:05:37] ; Dispatch::excute,行:39; null
[2018-11-21 20:05:37] ; View::view,行:63; index
[2018-11-21 20:05:37] ; View::view,行:63; parts/header
[2018-11-21 20:05:37] ; View::view,行:63; parts/bxslider
[2018-11-21 20:05:37] ; View::view,行:63; parts/news
[2018-11-21 20:05:37] ; View::view,行:63; parts/footer
[2018-11-21 20:05:53] ; ,行:19; 設定開始
[2018-11-21 20:05:53] ; Request::__construct,行:8; Request生成
[2018-11-21 20:05:53] ; ,行:23; 設定完了
[2018-11-21 20:05:53] ; Request::__construct,行:8; Request生成
[2018-11-21 20:05:53] ; ,行:25; URL:/
[2018-11-21 20:05:53] ; Request::__construct,行:8; Request生成
[2018-11-21 20:05:53] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-21 20:05:53] ; Dispatch::excute,行:28; is not false
[2018-11-21 20:05:53] ; Dispatch::excute,行:39; null
[2018-11-21 20:05:53] ; View::view,行:63; index
[2018-11-21 20:05:53] ; View::view,行:63; parts/header
[2018-11-21 20:05:53] ; View::view,行:63; parts/bxslider
[2018-11-21 20:05:53] ; View::view,行:63; parts/news
[2018-11-21 20:05:53] ; View::view,行:63; parts/footer
[2018-11-21 20:06:05] ; ,行:19; 設定開始
[2018-11-21 20:06:05] ; Request::__construct,行:8; Request生成
[2018-11-21 20:06:05] ; ,行:23; 設定完了
[2018-11-21 20:06:05] ; Request::__construct,行:8; Request生成
[2018-11-21 20:06:05] ; ,行:25; URL:/products
[2018-11-21 20:06:05] ; Request::__construct,行:8; Request生成
