[2018-11-21 12:32:17] ; ,行:19; 設定開始
[2018-11-21 12:32:17] ; Request::__construct,行:8; Request生成
[2018-11-21 12:32:17] ; ,行:23; 設定完了
[2018-11-21 12:32:17] ; Request::__construct,行:8; Request生成
[2018-11-21 12:32:17] ; ,行:25; URL:/index.php
[2018-11-21 12:32:17] ; Request::__construct,行:8; Request生成
[2018-11-21 12:32:17] ; Dispatch::excute,行:26; [0=>, 1=>index.php]
[2018-11-21 12:32:17] ; Dispatch::excute,行:28; is not false
[2018-11-21 12:32:17] ; Dispatch::excute,行:31; index.php
[2018-11-21 12:32:17] ; Dispatch::excute,行:39; null
[2018-11-21 12:32:17] ; View::view,行:63; index
[2018-11-21 12:32:17] ; View::view,行:63; parts/header
[2018-11-21 12:32:17] ; View::view,行:63; parts/bxslider
[2018-11-21 12:32:17] ; View::view,行:63; parts/news
[2018-11-21 12:32:17] ; View::view,行:63; parts/footer
[2018-11-21 12:44:31] ; ,行:19; 設定開始
[2018-11-21 12:44:31] ; Request::__construct,行:8; Request生成
[2018-11-21 12:44:31] ; ,行:23; 設定完了
[2018-11-21 12:44:31] ; Request::__construct,行:8; Request生成
[2018-11-21 12:44:31] ; ,行:25; URL:/index.php
[2018-11-21 12:44:31] ; Request::__construct,行:8; Request生成
[2018-11-21 12:44:31] ; Dispatch::excute,行:26; [0=>, 1=>index.php]
[2018-11-21 12:44:31] ; Dispatch::excute,行:28; is not false
[2018-11-21 12:44:31] ; Dispatch::excute,行:31; index.php
[2018-11-21 12:44:31] ; Dispatch::excute,行:39; null
[2018-11-21 12:44:31] ; View::view,行:63; index
[2018-11-21 12:44:31] ; View::view,行:63; parts/header
[2018-11-21 12:44:31] ; View::view,行:63; parts/bxslider
[2018-11-21 12:44:31] ; View::view,行:63; parts/news
[2018-11-21 12:44:31] ; View::view,行:63; parts/footer
[2018-11-21 12:44:56] ; ,行:19; 設定開始
[2018-11-21 12:44:56] ; Request::__construct,行:8; Request生成
[2018-11-21 12:44:56] ; ,行:23; 設定完了
[2018-11-21 12:44:56] ; Request::__construct,行:8; Request生成
[2018-11-21 12:44:56] ; ,行:25; URL:/index.php
[2018-11-21 12:44:56] ; Request::__construct,行:8; Request生成
[2018-11-21 12:44:56] ; Dispatch::excute,行:26; [0=>, 1=>index.php]
[2018-11-21 12:44:56] ; Dispatch::excute,行:28; is not false
[2018-11-21 12:44:56] ; Dispatch::excute,行:31; index.php
[2018-11-21 12:44:56] ; Dispatch::excute,行:39; null
[2018-11-21 12:44:56] ; View::view,行:63; index
[2018-11-21 12:44:56] ; View::view,行:63; parts/header
[2018-11-21 12:44:56] ; View::view,行:63; parts/bxslider
[2018-11-21 12:44:56] ; View::view,行:63; parts/news
[2018-11-21 12:44:56] ; View::view,行:63; parts/footer
[2018-11-21 12:45:18] ; ,行:19; 設定開始
[2018-11-21 12:45:18] ; Request::__construct,行:8; Request生成
[2018-11-21 12:45:18] ; ,行:23; 設定完了
[2018-11-21 12:45:18] ; Request::__construct,行:8; Request生成
[2018-11-21 12:45:18] ; ,行:25; URL:/index.php
[2018-11-21 12:45:18] ; Request::__construct,行:8; Request生成
[2018-11-21 12:45:18] ; Dispatch::excute,行:26; [0=>, 1=>index.php]
[2018-11-21 12:45:18] ; Dispatch::excute,行:28; is not false
[2018-11-21 12:45:18] ; Dispatch::excute,行:31; index.php
[2018-11-21 12:45:18] ; Dispatch::excute,行:39; null
[2018-11-21 12:45:18] ; View::view,行:63; index
[2018-11-21 12:45:18] ; View::view,行:63; parts/header
[2018-11-21 12:45:18] ; View::view,行:63; parts/bxslider
[2018-11-21 12:45:18] ; View::view,行:63; parts/news
[2018-11-21 12:45:18] ; View::view,行:63; parts/footer
[2018-11-21 12:45:45] ; ,行:19; 設定開始
[2018-11-21 12:45:45] ; Request::__construct,行:8; Request生成
