[2018-11-22 11:48:14] ; ,行:19; 設定開始
[2018-11-22 11:48:14] ; Request::__construct,行:8; Request生成
[2018-11-22 11:48:14] ; ,行:23; 設定完了
[2018-11-22 11:48:14] ; Request::__construct,行:8; Request生成
[2018-11-22 11:48:14] ; ,行:25; URL:/
[2018-11-22 11:48:14] ; Request::__construct,行:8; Request生成
[2018-11-22 11:48:14] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 11:48:14] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:48:14] ; Dispatch::excute,行:47; null
[2018-11-22 11:48:14] ; View::view,行:63; index
[2018-11-22 11:48:14] ; View::view,行:63; parts/header
[2018-11-22 11:48:14] ; View::view,行:63; parts/bxslider
[2018-11-22 11:48:14] ; View::view,行:63; parts/product
[2018-11-22 11:48:14] ; View::view,行:63; parts/news
[2018-11-22 11:48:14] ; View::view,行:63; parts/showImgs
[2018-11-22 11:48:14] ; View::view,行:63; parts/footer
[2018-11-22 11:48:15] ; ,行:19; 設定開始
[2018-11-22 11:48:15] ; Request::__construct,行:8; Request生成
[2018-11-22 11:48:15] ; ,行:23; 設定完了
[2018-11-22 11:48:15] ; Request::__construct,行:8; Request生成
[2018-11-22 11:48:15] ; ,行:25; URL:/public/css/bootstrap.css.map
[2018-11-22 11:48:15] ; Request::__construct,行:8; Request生成
[2018-11-22 11:48:15] ; Dispatch::excute,行:26; [0=>, 1=>public, 2=>css, 3=>bootstrap.css.map]
[2018-11-22 11:48:15] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:48:15] ; Dispatch::excute,行:37; public
[2018-11-22 11:48:15] ; Dispatch::excute,行:47; null
[2018-11-22 11:48:15] ; View::view,行:63; index
[2018-11-22 11:48:15] ; View::view,行:63; parts/header
[2018-11-22 11:48:15] ; View::view,行:63; parts/bxslider
[2018-11-22 11:48:15] ; View::view,行:63; parts/product
[2018-11-22 11:48:15] ; View::view,行:63; parts/news
[2018-11-22 11:48:15] ; View::view,行:63; parts/showImgs
[2018-11-22 11:48:15] ; View::view,行:63; parts/footer
[2018-11-22 11:49:51] ; ,行:19; 設定開始
[2018-11-22 11:49:51] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:51] ; ,行:23; 設定完了
[2018-11-22 11:49:51] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:51] ; ,行:25; URL:/
[2018-11-22 11:49:51] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:51] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 11:49:51] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:49:51] ; Dispatch::excute,行:47; null
[2018-11-22 11:49:51] ; View::view,行:63; index
[2018-11-22 11:49:51] ; View::view,行:63; parts/header
[2018-11-22 11:49:51] ; View::view,行:63; parts/bxslider
[2018-11-22 11:49:51] ; View::view,行:63; parts/product
[2018-11-22 11:49:51] ; View::view,行:63; parts/news
[2018-11-22 11:49:51] ; View::view,行:63; parts/showImgs
[2018-11-22 11:49:51] ; View::view,行:63; parts/footer
[2018-11-22 11:49:52] ; ,行:19; 設定開始
[2018-11-22 11:49:52] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:52] ; ,行:23; 設定完了
[2018-11-22 11:49:52] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:52] ; ,行:25; URL:/public/css/bootstrap.css.map
[2018-11-22 11:49:52] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:52] ; Dispatch::excute,行:26; [0=>, 1=>public, 2=>css, 3=>bootstrap.css.map]
[2018-11-22 11:49:52] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:49:52] ; Dispatch::excute,行:37; public
[2018-11-22 11:49:52] ; Dispatch::excute,行:47; null
[2018-11-22 11:49:52] ; View::view,行:63; index
[2018-11-22 11:49:52] ; View::view,行:63; parts/header
[2018-11-22 11:49:52] ; View::view,行:63; parts/bxslider
[2018-11-22 11:49:52] ; View::view,行:63; parts/product
[2018-11-22 11:49:52] ; View::view,行:63; parts/news
[2018-11-22 11:49:52] ; View::view,行:63; parts/showImgs
[2018-11-22 11:49:52] ; View::view,行:63; parts/footer
[2018-11-22 11:49:52] ; ,行:19; 設定開始
[2018-11-22 11:49:52] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:52] ; ,行:23; 設定完了
[2018-11-22 11:49:52] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:52] ; ,行:25; URL:/
[2018-11-22 11:49:52] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:52] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 11:49:52] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:49:52] ; Dispatch::excute,行:47; null
[2018-11-22 11:49:52] ; View::view,行:63; index
[2018-11-22 11:49:52] ; View::view,行:63; parts/header
[2018-11-22 11:49:52] ; View::view,行:63; parts/bxslider
[2018-11-22 11:49:52] ; View::view,行:63; parts/product
[2018-11-22 11:49:52] ; View::view,行:63; parts/news
[2018-11-22 11:49:52] ; View::view,行:63; parts/showImgs
[2018-11-22 11:49:52] ; View::view,行:63; parts/footer
[2018-11-22 11:49:53] ; ,行:19; 設定開始
[2018-11-22 11:49:53] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:53] ; ,行:23; 設定完了
[2018-11-22 11:49:53] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:53] ; ,行:25; URL:/public/css/bootstrap.css.map
[2018-11-22 11:49:53] ; Request::__construct,行:8; Request生成
[2018-11-22 11:49:53] ; Dispatch::excute,行:26; [0=>, 1=>public, 2=>css, 3=>bootstrap.css.map]
[2018-11-22 11:49:53] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:49:53] ; Dispatch::excute,行:37; public
[2018-11-22 11:49:53] ; Dispatch::excute,行:47; null
[2018-11-22 11:49:53] ; View::view,行:63; index
[2018-11-22 11:49:53] ; View::view,行:63; parts/header
[2018-11-22 11:49:53] ; View::view,行:63; parts/bxslider
[2018-11-22 11:49:53] ; View::view,行:63; parts/product
[2018-11-22 11:49:53] ; View::view,行:63; parts/news
